route,location,url,avg_stars,route_type,rating,pitches,length,area_latitude,area_longitude,climbing_rating_complete,protection
Lipstick Sunset,The Solar Dome (aka Lighthouse) > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105759075/lipstick-sunset,2.3,"Sport, TR",5.12b/c,1.0,30.0,40.0057,-105.3953,12.25,G
Baby Dog,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/119267832/baby-dog,2.5,Sport,5.7+,1.0,90.0,39.99752,-105.41522,7.35,G
Animation,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749785/animation,3.2,Sport,5.8,1.0,100.0,39.99752,-105.41522,8.0,G
Laurel & Hardy Meet Abbott & Costello,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106106417/laurel-hardy-meet-abbott-costello,1.7,Sport,5.9,1.0,50.0,39.99752,-105.41522,9.0,G
Lazy Day,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106147677/lazy-day,1.9,Sport,5.9+,1.0,60.0,39.99752,-105.41522,9.35,G
Is It Ready Yet...Moe,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106107243/is-it-ready-yetmoe,2.1,Sport,5.9+,1.0,80.0,39.99752,-105.41522,9.35,G
Unfamiliar Strangers,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762684/unfamiliar-strangers,2.3,Sport,5.9+,1.0,85.0,39.99752,-105.41522,9.35,G
Cannabis Sportiva,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105753067/cannabis-sportiva,2.6,"Trad, Sport",5.10d,1.0,,39.99752,-105.41522,10.4,G
Joint Venture,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749782/joint-venture,2.5,Sport,5.11a,2.0,,39.99752,-105.41522,11.1,G
Free Willie,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749956/free-willie,3.1,Sport,5.11a,1.0,80.0,39.99752,-105.41522,11.1,G
Nice To Be Here,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106136111/nice-to-be-here,1.5,Sport,5.11-,1.0,70.0,39.99752,-105.41522,11.15,G
Melancholy Man,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106109550/melancholy-man,1.7,Sport,5.11b,1.0,75.0,39.99752,-105.41522,11.2,G
Tuesday Afternoon,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106144480/tuesday-afternoon,1.4,Sport,5.11,1.0,70.0,39.99752,-105.41522,11.0,G
Threshold Of A Dream,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106125224/threshold-of-a-dream,2.7,Sport,5.11d,1.0,70.0,39.99752,-105.41522,11.4,G
Beast Food Right,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106304100/beast-food-right,2.2,Sport,5.12a,1.0,85.0,39.99752,-105.41522,12.1,G
Animal Riots Activist,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105754999/animal-riots-activist,2.7,Sport,5.12a,1.0,45.0,39.99752,-105.41522,12.1,G
Days of Future Passed aka Our Future Has Passed,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758080/days-of-future-passed-aka-our-future-has-passed,2.8,Sport,5.12a,1.0,,39.99752,-105.41522,12.1,G
Feeding The Beast (aka Beast Food),Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105757429/feeding-the-beast-aka-beast-food,2.4,"Trad, Sport",5.12a,1.0,90.0,39.99752,-105.41522,12.1,G
Blockhead,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106253127/blockhead,2.4,Sport,5.12b,1.0,85.0,39.99752,-105.41522,12.2,G
Beast Food Left,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106304082/beast-food-left,2.4,Sport,5.12b,1.0,85.0,39.99752,-105.41522,12.2,G
Piles of Trials,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105757018/piles-of-trials,3.0,Sport,5.12b,1.0,40.0,39.99752,-105.41522,12.2,G
Lovely to See You,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106135888/lovely-to-see-you,2.1,"Trad, Sport",5.12c,1.0,70.0,39.99752,-105.41522,12.3,G
Reversal Roof,Lower Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106147074/reversal-roof,1.7,"Sport, Boulder",5.12d V7,1.0,25.0,39.99752,-105.41522,12.4,G
Hope and Pray,Middle Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106124805/hope-and-pray,1.4,"Trad, Sport",5.8,1.0,60.0,39.99812,-105.41479,8.0,G
Ride My See-saw,Middle Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106135291/ride-my-see-saw,1.5,Sport,5.10a,1.0,80.0,39.99812,-105.41479,10.1,G
Talking Out Of Turn,Middle Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106113458/talking-out-of-turn,2.7,Sport,5.10b,2.0,,39.99812,-105.41479,10.2,G
Strange Times,Middle Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106121979/strange-times,1.6,"Trad, Sport",5.10c,1.0,60.0,39.99812,-105.41479,10.3,G
The Balance,Middle Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106121675/the-balance,1.3,"Trad, Sport",5.11-,1.0,75.0,39.99812,-105.41479,11.15,G
Isn't Life Strange,Middle Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106110630/isnt-life-strange,3.0,Sport,5.11b/c,1.0,105.0,39.99812,-105.41479,11.25,G
Split Personality,Middle Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/107575111/split-personality,2.7,Sport,5.12,1.0,95.0,39.99812,-105.41479,12.0,G
Blame it on a Rush of Blood to the Head,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758143/blame-it-on-a-rush-of-blood-to-the-head,0.0,"Trad, Sport",5.11b/c,2.0,150.0,39.99846,-105.41397,11.25,G
New Beginnings,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105757459/new-beginnings,2.1,Sport,5.11c,1.0,70.0,39.99846,-105.41397,11.3,G
Animal Magnetism,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105753505/animal-magnetism,3.8,Sport,5.11c,1.0,110.0,39.99846,-105.41397,11.3,G
Sundog,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105757231/sundog,2.7,Sport,5.12a,1.0,60.0,39.99846,-105.41397,12.1,G
Cujo Tranquilizer,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105757234/cujo-tranquilizer,3.2,Sport,5.12b,1.0,100.0,39.99846,-105.41397,12.2,G
The Fifth World,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758895/the-fifth-world,2.9,"Trad, Sport",5.12b/c,1.0,90.0,39.99846,-105.41397,12.25,G
Evolution Revolution,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749959/evolution-revolution,2.8,Sport,5.12b/c,1.0,,39.99846,-105.41397,12.25,G
Global Gorilla,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749779/global-gorilla,3.4,Sport,5.12c,1.0,170.0,39.99846,-105.41397,12.3,G
Animal Instinct,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105755935/animal-instinct,3.7,Sport,5.12c,1.0,70.0,39.99846,-105.41397,12.3,G
The Fifth Destiny,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/109768478/the-fifth-destiny,,Sport,5.12d,1.0,105.0,39.99846,-105.41397,12.4,G
Hands of Destiny,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105751672/hands-of-destiny,3.7,Sport,5.12d,2.0,,39.99846,-105.41397,12.4,G
Pit Bull Prowser,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105751546/pit-bull-prowser,2.4,Sport,5.13a,2.0,,39.99846,-105.41397,13.1,G
Closer To God,Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106159335/closer-to-god,2.2,Sport,5.13c,1.0,95.0,39.99846,-105.41397,13.3,G
Primate Studies,The Zoo > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749668/primate-studies,2.7,Sport,5.11+,1.0,,39.9991,-105.4145,11.35,G
Living with the Apes,The Zoo > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749665/living-with-the-apes,2.9,Sport,5.12a,1.0,,39.9991,-105.4145,12.1,G
Tiger Swan,The Zoo > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/113994499/tiger-swan,3.0,Sport,5.12b,1.0,50.0,39.9991,-105.4145,12.2,G
The Monkey Wrench,The Zoo > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105749671/the-monkey-wrench,1.0,Sport,5.12b/c,1.0,,39.9991,-105.4145,12.25,G
Don't Pull on the Udder,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764727/dont-pull-on-the-udder,1.6,"Trad, Sport",5.8,1.0,,39.9984,-105.4164,8.0,G
Get Your Dieck Off My Barnyard Animals,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764637/get-your-dieck-off-my-barnyard-animals,2.0,"Trad, Sport",5.9,1.0,,39.9984,-105.4164,9.0,G
What's Mine Is Yours,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106216226/whats-mine-is-yours,2.0,Sport,5.9,1.0,35.0,39.9984,-105.4164,9.0,G
Sofa Kingdom,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105750685/sofa-kingdom,2.4,Sport,5.9+,1.0,90.0,39.9984,-105.4164,9.35,G
Couch Potato,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106216208/couch-potato,1.7,"Trad, Sport",5.10-,1.0,75.0,39.9984,-105.4164,10.15,G
Just Another Cow's Climb,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105833248/just-another-cows-climb,1.5,"Trad, Sport",5.10-,1.0,65.0,39.9984,-105.4164,10.15,G
Just Moo It,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105765042/just-moo-it,1.7,"Trad, Sport",5.10+,1.0,80.0,39.9984,-105.4164,10.35,G
Little Stevie's Favorite Heifer,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764634/little-stevies-favorite-heifer,2.3,Sport,5.10c/d,1.0,,39.9984,-105.4164,10.35,G
Not So Ruff Roof,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/113920970/not-so-ruff-roof,1.6,Sport,5.10d,1.0,90.0,39.9984,-105.4164,10.4,G
Lieback,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/108170122/lieback,1.0,"Trad, Sport",5.11-,1.0,60.0,39.9984,-105.4164,11.15,G
Ruff Roof,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105755917/ruff-roof,2.4,"Sport, TR",5.12a,1.0,100.0,39.9984,-105.4164,12.1,G
Bull Fight,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764631/bull-fight,1.6,Sport,5.12b,1.0,45.0,39.9984,-105.4164,12.2,G
Nahcolite,Mine Hole Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/120817389/nahcolite,2.0,Sport,5.12c,1.0,60.0,39.9984,-105.4164,12.3,G
Road to Isengard,The Watermark > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756358/road-to-isengard,2.1,Sport,5.7,1.0,100.0,39.9983,-105.413,7.0,G
Lothlorien,The Watermark > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105750745/lothlorien,2.1,Sport,5.7,1.0,80.0,39.9983,-105.413,7.0,G
Twin Cracks Right,The Watermark > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105850906/twin-cracks-right,1.5,"Trad, Sport",5.8,1.0,90.0,39.9983,-105.413,8.0,G
Glennevere,The Watermark > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756532/glennevere,2.0,Sport,5.8,1.0,65.0,39.9983,-105.413,8.0,G
Twin Cracks Left,The Watermark > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105850865/twin-cracks-left,2.0,"Trad, Sport",5.9-,1.0,85.0,39.9983,-105.413,9.15,G
The Memory of Trees,The Watermark > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105750922/the-memory-of-trees,2.6,Sport,5.9,1.0,100.0,39.9983,-105.413,9.0,G
Minas Tireth,The Watermark > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761964/minas-tireth,1.7,Sport,5.10a,1.0,60.0,39.9983,-105.413,10.1,G
Twin Peaks,The Watermark > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756535/twin-peaks,2.0,"Sport, TR",5.10a/b,1.0,90.0,39.9983,-105.413,10.15,G
Left Side [Truth or Consequences],Truth or Consequences Crag aka Inca Stone > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764997/left-side-truth-or-consequences,0.7,"Trad, Sport",5.10- R,1.0,35.0,40.0042,-105.4007,10.15,R
Warm Up,Truth or Consequences Crag aka Inca Stone > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105752134/warm-up,1.7,Sport,5.10d,1.0,40.0,40.0042,-105.4007,10.4,G
The Alter,Truth or Consequences Crag aka Inca Stone > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105794453/the-alter,1.8,Sport,5.11a,1.0,45.0,40.0042,-105.4007,11.1,G
Human Sacrifice,Truth or Consequences Crag aka Inca Stone > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105752146/human-sacrifice,1.0,Sport,5.11-,1.0,,40.0042,-105.4007,11.15,G
Sacrificial Virgin,Truth or Consequences Crag aka Inca Stone > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105752143/sacrificial-virgin,1.8,Sport,5.11b,1.0,,40.0042,-105.4007,11.2,G
Inca Stone,Truth or Consequences Crag aka Inca Stone > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762423/inca-stone,2.5,Sport,5.11d PG13,1.0,50.0,40.0042,-105.4007,11.4,PG13
Iron Maiden,First Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105760608/iron-maiden,2.1,Sport,5.9,1.0,70.0,39.99885,-105.4124,9.0,G
Sword In The Stone,First Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105862660/sword-in-the-stone,2.5,Sport,5.9+,1.0,70.0,39.99885,-105.4124,9.35,G
Mists of Avalon,First Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761322/mists-of-avalon,2.4,Sport,5.10a,1.0,90.0,39.99885,-105.4124,10.1,G
Slayer,First Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761262/slayer,2.2,Sport,5.10b,1.0,70.0,39.99885,-105.4124,10.2,G
[Redacted],First Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761319/redacted,1.6,"Trad, Sport",5.10c,1.0,55.0,39.99885,-105.4124,10.3,G
Marquis de Sade,First Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761268/marquis-de-sade,2.4,Sport,5.10c,1.0,60.0,39.99885,-105.4124,10.3,G
Body Count,First Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761265/body-count,2.2,Sport,5.11a/b,1.0,60.0,39.99885,-105.4124,11.15,G
Catch and Release,First Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105751741/catch-and-release,1.5,Sport,5.12b,1.0,90.0,39.99885,-105.4124,12.2,G
Wheel of Fortune,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761337/wheel-of-fortune,2.1,Sport,5.10a,1.0,60.0,39.999,-105.4122,10.1,G
The Tower,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761340/the-tower,2.8,Sport,5.10a,1.0,100.0,39.999,-105.4122,10.1,G
The Magician,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105857146/the-magician,1.7,"Trad, Sport",5.10a,1.0,80.0,39.999,-105.4122,10.1,G
The Fool,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761343/the-fool,1.8,Sport,5.10c,1.0,60.0,39.999,-105.4122,10.3,G
Lust,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761271/lust,3.4,Sport,5.10c,1.0,90.0,39.999,-105.4122,10.3,G
The Hanged Man,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761334/the-hanged-man,1.5,Sport,5.10+,1.0,50.0,39.999,-105.4122,10.35,G
The Horse,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764151/the-horse,1.7,"Trad, Sport",5.10d,1.0,60.0,39.999,-105.4122,10.4,G
The Devil,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761274/the-devil,2.9,Sport,5.11b/c,1.0,70.0,39.999,-105.4122,11.25,G
The Constant Gardener,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106129223/the-constant-gardener,2.8,Sport,5.12b,1.0,80.0,39.999,-105.4122,12.2,G
Goat F***er,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764280/goat-fer,2.0,Sport,5.12,1.0,25.0,39.999,-105.4122,12.0,G
Manganese Direct,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106129209/manganese-direct,3.5,Sport,5.12c,1.0,80.0,39.999,-105.4122,12.3,G
Earth Angel,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764436/earth-angel,3.6,Sport,5.12d,1.0,80.0,39.999,-105.4122,12.4,G
Pillar,Three Dihedrals > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105825469/pillar,0.4,"Trad, Sport",5.6,1.0,50.0,39.99889,-105.41204,6.0,G
Dom Perignon,Three Dihedrals > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758158/dom-perignon,1.7,"Trad, Sport",5.9,1.0,60.0,39.99889,-105.41204,9.0,G
Dominator,Three Dihedrals > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758062/dominator,3.0,Sport,5.10c,1.0,60.0,39.99889,-105.41204,10.3,G
Dead Can Dance,Wall of the Dead > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105757393/dead-can-dance,2.4,Sport,5.9+,1.0,60.0,39.99836,-105.41199,9.35,G
Isle of the Dead,Wall of the Dead > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756730/isle-of-the-dead,1.6,Sport,5.10b,1.0,,39.99836,-105.41199,10.2,G
Dead Again,Wall of the Dead > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105760935/dead-again,2.4,Sport,5.10c,1.0,60.0,39.99836,-105.41199,10.3,G
Sarcophagus,Wall of the Dead > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/119193303/sarcophagus,2.0,"Sport, TR",5.10+ PG13,1.0,70.0,39.99836,-105.41199,10.35,PG13
The Clipboard,Clipboard Area > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758257/the-clipboard,2.6,Sport,5.11a/b,1.0,50.0,39.99889,-105.41204,11.15,G
Chairman of the Board,Clipboard Area > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761295/chairman-of-the-board,2.9,Sport,5.11+,1.0,50.0,39.99889,-105.41204,11.35,G
Disinclination,Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761364/disinclination,1.9,Sport,5.7,1.0,90.0,39.99843,-105.41208,7.0,G
Incline Club,Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756484/incline-club,2.1,Sport,5.7+,1.0,90.0,39.99843,-105.41208,7.35,G
Tomb of Sorrows,Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761367/tomb-of-sorrows,1.6,Sport,5.8,1.0,75.0,39.99843,-105.41208,8.0,G
Supernatural,Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761349/supernatural,2.7,Sport,5.10d,1.0,85.0,39.99843,-105.41208,10.4,G
Flashpoint,Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105834727/flashpoint,1.5,Sport,5.11a,1.0,40.0,39.99843,-105.41208,11.1,G
Strange Science,Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105754129/strange-science,3.4,"Sport, TR",5.11c,1.0,50.0,39.99843,-105.41208,11.3,G
Ripcord,Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761298/ripcord,2.7,Sport,5.12a,1.0,40.0,39.99843,-105.41208,12.1,G
Free Fall,Middle Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758413/free-fall,2.6,Sport,5.12a,1.0,40.0,39.99843,-105.41208,12.1,G
Mystery Ship,Crack Land > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105757942/mystery-ship,1.7,Sport,5.10a,1.0,70.0,39.99888,-105.41159,10.1,G
The Art Of War,Crack Land > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105831811/the-art-of-war,2.5,Sport,5.10b,1.0,100.0,39.99888,-105.41159,10.2,G
Ancient Fright,Crack Land > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764418/ancient-fright,1.9,Sport,5.10c,1.0,70.0,39.99888,-105.41159,10.3,G
Ancient Light,Crack Land > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761370/ancient-light,2.0,"Trad, Sport",5.10c,2.0,150.0,39.99888,-105.41159,10.3,G
War Horse,Crack Land > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105833627/war-horse,2.1,"Trad, Sport",5.10c,1.0,75.0,39.99888,-105.41159,10.3,G
Dragon Fly,Wall of the Dragon > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764544/dragon-fly,1.8,Sport,5.9,1.0,60.0,39.99863,-105.41169,9.0,G
Dragon Slayer,Wall of the Dragon > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764559/dragon-slayer,2.1,Sport,5.10b,1.0,70.0,39.99863,-105.41169,10.2,G
Sorcerer's Apprentice,West Gully > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764643/sorcerers-apprentice,1.1,Sport,5.7,1.0,60.0,39.99863,-105.41169,7.0,G
Charon's Boat,West Gully > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764361/charons-boat,1.6,Sport,5.9+,1.0,40.0,39.99863,-105.41169,9.35,G
Knight of Swords,West Gully > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764649/knight-of-swords,2.1,Sport,5.10d,1.0,70.0,39.99863,-105.41169,10.4,G
Merlin's Enigma,West Gully > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764343/merlins-enigma,1.9,Sport,5.11c/d,1.0,40.0,39.99863,-105.41169,11.35,G
The Solution,Southwest Buttress > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105843930/the-solution,2.0,"Trad, Sport",5.10c,1.0,80.0,39.99863,-105.41169,10.3,G
Jaguar,Southwest Buttress > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105758551/jaguar,2.0,"Trad, Sport",5.11c,1.0,70.0,39.99863,-105.41169,11.3,G
The Resistance,Southwest Buttress > Third Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105844444/the-resistance,2.4,"Trad, Sport",5.11c,1.0,80.0,39.99863,-105.41169,11.3,G
First Round,The Arena (aka Contender Wall) > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105755566/first-round,1.2,Sport,5.10b,1.0,,40.0024,-105.4102,10.2,G
Standing Eight Count,The Arena (aka Contender Wall) > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105755563/standing-eight-count,2.0,Sport,5.11b,1.0,,40.0024,-105.4102,11.2,G
Contender Direct,The Arena (aka Contender Wall) > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/110316028/contender-direct,2.0,Sport,5.11c,1.0,50.0,40.0024,-105.4102,11.3,G
Sucker Punch,The Arena (aka Contender Wall) > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/111091276/sucker-punch,0.0,Sport,5.11d PG13,1.0,25.0,40.0024,-105.4102,11.4,PG13
Apparition,Cenotaph Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105840813/apparition,1.3,"Trad, Sport, TR",5.11a,1.0,35.0,39.9778,-105.4601,11.1,G
Like a Junky Tying Off for the Last Time,Cenotaph Crag > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/113833355/like-a-junky-tying-off-for-the-last-time,2.3,Sport,5.11,1.0,40.0,39.9778,-105.4601,11.0,G
